Python,(a+)+$,6,0.0884
Python,(a+)+$,11,0.0332
Python,(a+)+$,16,0.0355
Python,(a+)+$,21,0.068
Python,(a+)+$,26,1.1363
Python,(a+)+$,31,TIMEOUT
Python,(a|aa)+$,6,0.0585
Python,(a|aa)+$,11,0.045
Python,(a|aa)+$,16,0.0385
Python,(a|aa)+$,21,0.0382
Python,(a|aa)+$,26,0.0466
Python,(a|aa)+$,31,0.1604
Python,(a|aa)+$,36,1.4602
Python,(a|aa)+$,41,TIMEOUT
Python,(.*a){5},6,0.0382
Python,(.*a){5},11,0.0334
Python,(.*a){5},16,0.0348
Python,(.*a){5},21,0.0337
Python,(.*a){5},26,0.0351
Python,(.*a){5},31,0.038
Python,(.*a){5},36,0.0397
Python,(.*a){5},41,0.0457
Python,(.*a){5},46,0.0666
Python,(.*a){5},51,0.104
Python,(.*a){5},56,0.0932
Python,(.*a){5},61,0.1218
Python,(.*a){5},66,0.1664
Python,(.*a){5},71,0.2228
Python,(.*a){5},76,0.316
Python,(.*a){5},81,0.5125
Python,(.*a){5},86,0.7303
Python,(.*a){5},91,0.7077
Python,(.*a){5},96,0.9024
Python,(.*a){5},101,1.1347
Python,(a|b|ab)*$,11,0.0323
Python,(a|b|ab)*$,21,0.0327
Python,(a|b|ab)*$,31,0.0379
Python,(a|b|ab)*$,41,0.1553
Python,(a|b|ab)*$,51,4.0642
Python,(a|b|ab)*$,61,TIMEOUT
